Volume,Volume Weighted,Open,Close,High,Low,Timestamp,Number of Trades
131577921.0,153.1029,154.925,152.06,155.83,151.49,2022-05-09 00:00:00-04:00,1103707
115366736.0,154.8376,155.52,154.51,156.74,152.93,2022-05-10 00:00:00-04:00,988257
142547625.0,149.4468,153.5,146.5,155.45,145.81,2022-05-11 00:00:00-04:00,1310796
182408091.0,142.066,142.77,142.56,146.2,138.8,2022-05-12 00:00:00-04:00,1678454
113990852.0,146.3255,144.59,147.11,148.105,143.11,2022-05-13 00:00:00-04:00,920506
86643781.0,145.7814,145.55,145.54,147.5199,144.18,2022-05-16 00:00:00-04:00,699719
78138254.0,148.443,148.86,149.24,149.77,146.68,2022-05-17 00:00:00-04:00,609263
109742890.0,142.6901,146.85,140.82,147.3601,139.9,2022-05-18 00:00:00-04:00,982288
135863540.0,138.66,139.88,137.35,141.66,136.6,2022-05-19 00:00:00-04:00,1219746
137392625.0,136.397,139.09,137.59,140.7,132.61,2022-05-20 00:00:00-04:00,1133362
117726265.0,141.4344,137.79,143.11,143.26,137.65,2022-05-23 00:00:00-04:00,851032
104132746.0,139.4136,140.805,140.36,141.97,137.33,2022-05-24 00:00:00-04:00,812515
92482696.0,140.0769,138.43,140.52,141.785,138.34,2022-05-25 00:00:00-04:00,688316
90601098.0,142.3902,137.39,143.78,144.34,137.14,2022-05-26 00:00:00-04:00,670652
91425110.0,148.1995,145.39,149.64,149.68,145.26,2022-05-27 00:00:00-04:00,686376
103718416.0,149.0998,149.07,148.84,150.66,146.84,2022-05-31 00:00:00-04:00,706652
74286635.0,149.3747,149.9,148.71,151.74,147.68,2022-06-01 00:00:00-04:00,629251
72348055.0,149.5215,147.83,151.21,151.27,146.86,2022-06-02 00:00:00-04:00,574552
88570289.0,145.8127,146.9,145.38,147.97,144.46,2022-06-03 00:00:00-04:00,761195
71598380.0,146.6167,147.03,146.14,148.5689,144.9,2022-06-06 00:00:00-04:00,605199
67808150.0,147.5529,144.345,148.71,149.0,144.1,2022-06-07 00:00:00-04:00,527360
53950201.0,148.6118,148.58,147.96,149.8697,147.46,2022-06-08 00:00:00-04:00,430174
69472976.0,145.3266,147.08,142.64,147.95,142.53,2022-06-09 00:00:00-04:00,558178
91566637.0,138.1785,140.28,137.13,140.76,137.06,2022-06-10 00:00:00-04:00,826197
122128099.0,133.128,132.87,131.88,135.2,131.44,2022-06-13 00:00:00-04:00,1019929
84784326.0,132.5738,133.13,132.76,133.89,131.48,2022-06-14 00:00:00-04:00,674981
91532972.0,134.625,134.29,135.43,137.34,132.16,2022-06-15 00:00:00-04:00,733275
107961508.0,130.4622,132.08,130.06,132.39,129.04,2022-06-16 00:00:00-04:00,909222
134520290.0,131.491,130.065,131.56,133.079,129.81,2022-06-17 00:00:00-04:00,744035
81000488.0,135.8508,133.42,135.87,137.06,133.32,2022-06-21 00:00:00-04:00,604547
73409234.0,135.8581,134.79,135.35,137.76,133.91,2022-06-22 00:00:00-04:00,530526
72433768.0,137.2859,136.82,138.27,138.59,135.63,2022-06-23 00:00:00-04:00,554898
88401837.0,140.8332,139.9,141.66,141.91,139.77,2022-06-24 00:00:00-04:00,542278
70207908.0,142.0413,142.695,141.66,143.49,140.965,2022-06-27 00:00:00-04:00,516175
67315328.0,139.3752,142.13,137.44,143.422,137.325,2022-06-28 00:00:00-04:00,546240
66242411.0,139.2737,137.46,139.23,140.67,136.67,2022-06-29 00:00:00-04:00,572553
98964467.0,136.476,137.25,136.72,138.37,133.7737,2022-06-30 00:00:00-04:00,710706
71051552.0,137.4774,136.04,138.93,139.04,135.66,2022-07-01 00:00:00-04:00,558680
73429641.0,139.7669,137.77,141.56,141.61,136.93,2022-07-05 00:00:00-04:00,601960
74064254.0,142.5582,141.355,142.92,144.12,141.08,2022-07-06 00:00:00-04:00,585624
66253709.0,145.6754,143.29,146.35,146.55,143.28,2022-07-07 00:00:00-04:00,539961
64543598.0,146.6409,145.265,147.04,147.55,145.0,2022-07-08 00:00:00-04:00,520274
63305113.0,145.1524,145.67,144.87,146.64,143.78,2022-07-11 00:00:00-04:00,496267
77588759.0,146.7948,145.76,145.86,148.45,145.05,2022-07-12 00:00:00-04:00,579531
71185560.0,145.1932,142.99,145.49,146.45,142.1201,2022-07-13 00:00:00-04:00,559357
78140744.0,146.591,144.08,148.47,148.95,143.25,2022-07-14 00:00:00-04:00,614951
76259931.0,149.5097,149.78,150.17,150.86,148.2,2022-07-15 00:00:00-04:00,550061
81380868.0,149.0297,150.74,147.07,151.57,146.7,2022-07-18 00:00:00-04:00,620449
82969067.0,149.7493,147.92,151.0,151.23,146.91,2022-07-19 00:00:00-04:00,576469
64823413.0,152.6255,151.12,153.04,153.72,150.37,2022-07-20 00:00:00-04:00,523491
65064436.0,154.3545,154.5,155.35,155.57,151.94,2022-07-21 00:00:00-04:00,522802
66675373.0,154.6233,155.39,154.09,156.28,153.41,2022-07-22 00:00:00-04:00,527310
53580745.0,153.3004,154.01,152.95,155.04,152.28,2022-07-25 00:00:00-04:00,487391
55099091.0,151.6799,152.265,151.6,153.085,150.8,2022-07-26 00:00:00-04:00,472001
78620688.0,155.2412,152.58,156.79,157.33,152.16,2022-07-27 00:00:00-04:00,579181
81378731.0,157.4654,156.98,157.35,157.64,154.41,2022-07-28 00:00:00-04:00,738631
101763760.0,162.249,161.24,162.51,163.63,159.5,2022-07-29 00:00:00-04:00,773742
67778379.0,162.1045,161.01,161.51,163.59,160.89,2022-08-01 00:00:00-04:00,594290
59907025.0,160.6921,160.1,160.01,162.41,159.63,2022-08-02 00:00:00-04:00,543549
82507488.0,164.9105,160.84,166.13,166.59,160.75,2022-08-03 00:00:00-04:00,682781
55474144.0,165.5946,166.005,165.81,167.19,164.43,2022-08-04 00:00:00-04:00,525012
56696985.0,164.7432,163.21,165.35,165.85,163.0,2022-08-05 00:00:00-04:00,491310
60362338.0,165.8939,166.37,164.87,167.81,164.2,2022-08-08 00:00:00-04:00,540017
63075503.0,164.8395,164.02,164.92,165.82,163.25,2022-08-09 00:00:00-04:00,480552
70170540.0,168.3496,167.68,169.24,169.34,166.9,2022-08-10 00:00:00-04:00,559789
57142109.0,169.3737,170.06,168.49,170.99,168.19,2022-08-11 00:00:00-04:00,507914
68039382.0,171.0754,169.82,172.1,172.17,169.4,2022-08-12 00:00:00-04:00,557624
54091694.0,172.6254,171.52,173.19,173.39,171.345,2022-08-15 00:00:00-04:00,501625
56377050.0,172.7427,172.78,173.03,173.71,171.6618,2022-08-16 00:00:00-04:00,515134
79542037.0,174.3135,172.77,174.55,176.15,172.57,2022-08-17 00:00:00-04:00,686577
62290075.0,174.1366,173.75,174.15,174.9,173.12,2022-08-18 00:00:00-04:00,545655
70336995.0,172.2302,173.03,171.52,173.74,171.3101,2022-08-19 00:00:00-04:00,573126
68975809.0,168.2677,169.69,167.57,169.86,167.135,2022-08-22 00:00:00-04:00,620800
54147079.0,167.6231,167.08,167.23,168.71,166.65,2022-08-23 00:00:00-04:00,494686
53841524.0,167.3144,167.32,167.53,168.11,166.245,2022-08-24 00:00:00-04:00,476970
51218209.0,169.3503,168.78,170.03,170.14,168.35,2022-08-25 00:00:00-04:00,465398
78960980.0,165.9997,170.57,163.62,171.05,163.56,2022-08-26 00:00:00-04:00,722008
73313953.0,161.5291,161.145,161.38,162.9,159.82,2022-08-29 00:00:00-04:00,640593
77906197.0,159.2926,162.13,158.91,162.56,157.72,2022-08-30 00:00:00-04:00,644671
87991091.0,158.3972,160.305,157.22,160.58,157.14,2022-08-31 00:00:00-04:00,606827
74229896.0,156.5232,156.64,157.96,158.42,154.67,2022-09-01 00:00:00-04:00,654667
76807768.0,157.6597,159.75,155.81,160.362,154.965,2022-09-02 00:00:00-04:00,646414
73714843.0,155.012,156.47,154.53,157.09,153.69,2022-09-06 00:00:00-04:00,687436
87293824.0,155.306,154.825,155.96,156.67,153.61,2022-09-07 00:00:00-04:00,696954
84909447.0,154.3949,154.64,154.46,156.36,152.68,2022-09-08 00:00:00-04:00,697264
68081006.0,156.6625,155.47,157.37,157.82,154.75,2022-09-09 00:00:00-04:00,532851
104955962.0,162.4763,159.59,163.43,164.26,159.3,2022-09-12 00:00:00-04:00,801512
122651554.0,156.1544,159.9,153.84,160.54,153.37,2022-09-13 00:00:00-04:00,1018108
87935409.0,155.2607,154.785,155.31,157.1,153.6106,2022-09-14 00:00:00-04:00,716065
90481110.0,153.0058,154.65,152.37,155.24,151.38,2022-09-15 00:00:00-04:00,741143
160940131.0,150.2326,151.21,150.7,151.35,148.37,2022-09-16 00:00:00-04:00,850351
81474246.0,152.5543,149.31,154.48,154.56,149.1,2022-09-19 00:00:00-04:00,671956
107639796.0,156.1314,153.4,156.9,158.08,153.08,2022-09-20 00:00:00-04:00,792170
101696790.0,156.2959,157.34,153.72,158.74,153.6,2022-09-21 00:00:00-04:00,785023
86652542.0,152.5709,152.38,152.74,154.47,150.91,2022-09-22 00:00:00-04:00,686879
96029909.0,150.0222,151.19,150.43,151.47,148.56,2022-09-23 00:00:00-04:00,766882
93339409.0,151.5222,149.66,150.77,153.7701,149.64,2022-09-26 00:00:00-04:00,747666
84282741.0,152.1335,152.74,151.76,154.72,149.945,2022-09-27 00:00:00-04:00,683776
146661387.0,147.5981,147.64,149.84,150.6414,144.84,2022-09-28 00:00:00-04:00,1142717
128138237.0,142.9002,146.1,142.48,146.72,140.68,2022-09-29 00:00:00-04:00,1067281
124910274.0,140.3818,141.28,138.2,143.1,138.0,2022-09-30 00:00:00-04:00,947003
114311663.0,141.2135,138.21,142.45,143.07,137.685,2022-10-03 00:00:00-04:00,838786
87780064.0,145.4907,145.03,146.1,146.22,144.26,2022-10-04 00:00:00-04:00,687504
79269968.0,145.2495,144.075,146.4,147.38,143.01,2022-10-05 00:00:00-04:00,605861
68308669.0,146.0741,145.81,145.43,147.54,145.22,2022-10-06 00:00:00-04:00,538671
85925559.0,140.7932,142.54,140.09,143.1,139.445,2022-10-07 00:00:00-04:00,666459
74899002.0,140.1978,140.42,140.42,141.89,138.5729,2022-10-10 00:00:00-04:00,620863
77001872.0,139.5393,139.9,138.98,141.35,138.22,2022-10-11 00:00:00-04:00,608882
69933744.0,139.0968,139.13,138.34,140.36,138.16,2022-10-12 00:00:00-04:00,553185
113223975.0,139.7607,134.99,142.99,143.59,134.37,2022-10-13 00:00:00-04:00,874139
88597969.0,139.9229,144.31,138.38,144.52,138.19,2022-10-14 00:00:00-04:00,689680
85250639.0,141.9529,141.065,142.41,142.9,140.27,2022-10-17 00:00:00-04:00,634583
99130632.0,144.0619,145.49,143.75,146.7,140.61,2022-10-18 00:00:00-04:00,785416
61757790.0,143.4441,141.69,143.86,144.9492,141.5,2022-10-19 00:00:00-04:00,511348
64521989.0,144.2072,143.02,143.39,145.89,142.65,2022-10-20 00:00:00-04:00,517760
86548459.0,145.5191,142.87,147.27,147.8479,142.649,2022-10-21 00:00:00-04:00,621571
75981918.0,148.3743,147.185,149.45,150.23,146.0,2022-10-24 00:00:00-04:00,653020
74682290.0,151.4347,150.09,152.34,152.49,149.36,2022-10-25 00:00:00-04:00,581421
87883672.0,150.0488,150.96,149.35,151.99,148.04,2022-10-26 00:00:00-04:00,694793
109161970.0,145.3119,148.07,144.8,149.046,144.13,2022-10-27 00:00:00-04:00,944053
164762371.0,154.5822,148.2,155.74,157.5,147.82,2022-10-28 00:00:00-04:00,1228075
97932271.0,153.2791,153.155,153.34,154.24,151.92,2022-10-31 00:00:00-04:00,726843
80379345.0,150.9807,155.08,150.65,155.45,149.13,2022-11-01 00:00:00-04:00,650595
93604623.0,148.2186,148.945,145.03,152.17,145.0,2022-11-02 00:00:00-04:00,788400
97917166.0,140.1145,142.06,138.88,142.8,138.75,2022-11-03 00:00:00-04:00,871800
140494796.0,137.3583,142.09,138.38,142.67,134.38,2022-11-04 00:00:00-04:00,1161631
83364228.0,137.4671,137.11,138.92,139.145,135.671,2022-11-07 00:00:00-05:00,715005
89908477.0,139.5702,140.41,139.5,141.43,137.49,2022-11-08 00:00:00-05:00,637312
74903262.0,135.9897,138.5,134.87,138.55,134.5933,2022-11-09 00:00:00-05:00,632982
118854028.0,144.1322,141.24,146.87,146.87,139.5,2022-11-10 00:00:00-05:00,875048
93966273.0,148.1929,145.82,149.7,150.01,144.37,2022-11-11 00:00:00-05:00,742241
73374114.0,148.7236,148.97,148.28,150.28,147.43,2022-11-14 00:00:00-05:00,576289
89868332.0,151.2356,152.215,150.04,153.59,148.5613,2022-11-15 00:00:00-05:00,703669
64218266.0,148.6596,149.13,148.79,149.87,147.29,2022-11-16 00:00:00-05:00,472247
80389400.0,149.706,146.43,150.72,151.48,146.15,2022-11-17 00:00:00-05:00,563714
74829573.0,151.1944,152.305,151.29,152.7,149.97,2022-11-18 00:00:00-05:00,514103
58724070.0,148.4817,150.16,148.01,150.37,147.715,2022-11-21 00:00:00-05:00,504777
51804132.0,149.1957,148.13,150.18,150.42,146.925,2022-11-22 00:00:00-05:00,405185
58283895.0,150.7871,149.45,151.07,151.83,149.34,2022-11-23 00:00:00-05:00,444423
35195860.0,148.1668,148.305,148.11,148.88,147.12,2022-11-25 00:00:00-05:00,319570
69346522.0,144.782,145.14,144.22,146.64,143.38,2022-11-28 00:00:00-05:00,614357
83736803.0,142.0517,144.29,141.17,144.81,140.355,2022-11-29 00:00:00-05:00,713280
111314880.0,145.1721,141.395,148.03,148.72,140.55,2022-11-30 00:00:00-05:00,707647
71250416.0,148.105,148.21,148.31,149.13,146.61,2022-12-01 00:00:00-05:00,525985
65438446.0,146.8594,145.96,147.81,148.0,145.65,2022-12-02 00:00:00-05:00,464550
68826442.0,147.6384,147.77,146.63,150.9199,145.77,2022-12-05 00:00:00-05:00,586791
64727186.0,143.7902,147.075,142.91,147.3,141.92,2022-12-06 00:00:00-05:00,537304
69721094.0,141.1601,142.19,140.94,143.37,140.0,2022-12-07 00:00:00-05:00,565392
62128338.0,142.5153,142.36,142.65,143.52,141.1,2022-12-08 00:00:00-05:00,456121
76084511.0,143.2204,142.34,142.16,145.57,140.9,2022-12-09 00:00:00-05:00,530236
70462654.0,143.0063,142.7,144.49,144.5,141.06,2022-12-12 00:00:00-05:00,492710
93486161.0,146.5933,149.5,145.47,149.9692,144.24,2022-12-13 00:00:00-05:00,706525
82211182.0,144.2495,145.35,143.21,146.655,141.16,2022-12-14 00:00:00-05:00,597870
98463907.0,137.6359,141.11,136.5,141.8,136.025,2022-12-15 00:00:00-05:00,879346
160063600.0,134.9476,136.685,134.51,137.65,133.73,2022-12-16 00:00:00-05:00,821076
79592614.0,132.4667,135.11,132.37,135.2,131.32,2022-12-19 00:00:00-05:00,705820
77430718.0,131.8489,131.39,132.3,133.25,129.89,2022-12-20 00:00:00-05:00,640693
85927993.0,135.315,132.98,135.45,136.81,132.75,2022-12-21 00:00:00-05:00,588684
77696108.0,131.8997,134.352,132.23,134.56,130.3,2022-12-22 00:00:00-05:00,643294
63802893.0,131.1521,130.92,131.86,132.415,129.64,2022-12-23 00:00:00-05:00,541274
69007830.0,129.9522,131.38,130.03,131.41,128.72,2022-12-27 00:00:00-05:00,608331
85438391.0,127.5918,129.67,126.04,131.0275,125.87,2022-12-28 00:00:00-05:00,762246
75501810.0,129.4879,127.99,129.61,130.4814,127.73,2022-12-29 00:00:00-05:00,598204
76204209.0,128.8013,128.41,129.93,129.95,127.43,2022-12-30 00:00:00-05:00,592655
112117471.0,125.725,130.28,125.07,130.9,124.17,2023-01-03 00:00:00-05:00,1021065
89100633.0,126.6464,126.89,126.36,128.6557,125.08,2023-01-04 00:00:00-05:00,770042
80716808.0,126.0883,127.13,125.02,127.77,124.76,2023-01-05 00:00:00-05:00,665458
87754715.0,128.1982,126.01,129.62,130.29,124.89,2023-01-06 00:00:00-05:00,711520
70790813.0,131.6292,130.465,130.15,133.41,129.89,2023-01-09 00:00:00-05:00,645365
63896155.0,129.822,130.26,130.73,131.2636,128.12,2023-01-10 00:00:00-05:00,554940
69458949.0,132.3081,131.25,133.49,133.51,130.46,2023-01-11 00:00:00-05:00,561278
71379648.0,133.171,133.88,133.41,134.26,131.44,2023-01-12 00:00:00-05:00,635331
57809719.0,133.6773,132.03,134.76,134.92,131.66,2023-01-13 00:00:00-05:00,537385
63612627.0,135.7587,134.83,135.94,137.29,134.13,2023-01-17 00:00:00-05:00,595831
69672800.0,136.3316,136.815,135.21,138.61,135.03,2023-01-18 00:00:00-05:00,578304
58280413.0,134.9653,134.08,135.27,136.25,133.77,2023-01-19 00:00:00-05:00,491674
80200655.0,136.3762,135.28,137.87,138.02,134.22,2023-01-20 00:00:00-05:00,552230
81760313.0,141.2116,138.12,141.11,143.315,137.9,2023-01-23 00:00:00-05:00,719288
66435142.0,142.0507,140.305,142.53,143.16,140.3,2023-01-24 00:00:00-05:00,498679
65799349.0,140.7526,140.89,141.86,142.43,138.81,2023-01-25 00:00:00-05:00,536505
54105068.0,143.3429,143.17,143.96,144.25,141.9,2023-01-26 00:00:00-05:00,472135
70547743.0,145.8365,143.155,145.93,147.23,143.08,2023-01-27 00:00:00-05:00,560022
64015274.0,143.6524,144.955,143.0,145.55,142.85,2023-01-30 00:00:00-05:00,551111
65874459.0,143.6473,142.7,144.29,144.34,142.28,2023-01-31 00:00:00-05:00,468170
77663426.0,143.8723,143.97,145.43,146.61,141.32,2023-02-01 00:00:00-05:00,693374
118338980.0,149.3764,148.9,150.82,151.18,148.17,2023-02-02 00:00:00-05:00,996203
154338835.0,154.2437,148.03,154.5,157.38,147.83,2023-02-03 00:00:00-05:00,1141350
69771906.0,152.0939,152.575,151.73,153.1,150.78,2023-02-06 00:00:00-05:00,583517
83322551.0,153.4202,150.64,154.65,155.23,150.64,2023-02-07 00:00:00-05:00,661767
63620079.0,152.3636,153.88,151.92,154.58,151.168,2023-02-08 00:00:00-05:00,524140
55994243.0,152.2769,153.775,150.87,154.33,150.42,2023-02-09 00:00:00-05:00,471973
57388108.0,150.4054,149.46,151.01,151.3401,149.22,2023-02-10 00:00:00-05:00,443405
62199013.0,153.231,150.952,153.85,154.26,150.92,2023-02-13 00:00:00-05:00,506668
61664023.0,152.5956,152.12,153.2,153.77,150.86,2023-02-14 00:00:00-05:00,528566
65665252.0,154.4536,153.11,155.33,155.5,152.88,2023-02-15 00:00:00-05:00,520574
68167942.0,154.7143,153.51,153.71,156.33,153.3475,2023-02-16 00:00:00-05:00,516187
59105618.0,152.0451,152.35,152.55,153.0,150.85,2023-02-17 00:00:00-05:00,468580
58217230.0,149.3501,150.2,148.48,151.3,148.405,2023-02-21 00:00:00-05:00,509342
51008155.0,148.5494,148.87,148.91,149.95,147.16,2023-02-22 00:00:00-05:00,429775
48392049.0,148.8407,150.09,149.4,150.34,147.24,2023-02-23 00:00:00-05:00,425159
55469606.0,146.3861,147.11,146.71,147.19,145.7202,2023-02-24 00:00:00-05:00,472221
44998470.0,148.1344,147.71,147.92,149.17,147.45,2023-02-27 00:00:00-05:00,418069
50546998.0,147.7996,147.05,147.41,149.08,146.83,2023-02-28 00:00:00-05:00,383779
55478991.0,145.868,146.83,145.31,147.2285,145.01,2023-03-01 00:00:00-05:00,461613
52279761.0,145.1652,144.38,145.91,146.71,143.9,2023-03-02 00:00:00-05:00,413238
70725339.0,150.0304,148.045,151.03,151.11,147.33,2023-03-03 00:00:00-05:00,558706
